Quote,Author,"1 (sad) 
2 (happy)"
"Out of the mountain of despair, a stone of hope.",Martin Luther King Jr,1
Success is not final; failure is not fatal;,Winston S. Churchill,1
It is better to fail in originality than to succeed in imitation,Herman Melville,1
Life is tough but so are you.,Unknown,1
Challenges are what make life interesting. Overcoming them is what makes them meaningful.,Unknown,1
Mistakes are a fact of life. It is the response to the error that counts.,Nikki Giovanni,1
There is no elevator to success. You have to take the stairs.,Unknown,1
"Rest and self-care are so important. When you take time to replenish your spirit, it allows you to serve from the overflow. You cannot serve from an empty vessel.",Eleanor Brown,1
Courage is one step ahead of fears.,Deavita,1
You never know how strong you are until being strong is the only choice you have.,Unknown,1
Nobody rises to low expectations,Calvin Loyd,1
Change begins at the end of your comfort zone.,Roy T Bennet,2
Discipline is choosing between what you want now and what you want most.,Unknown,2
Creativity is a habit and the best creativity is the result of good work habits.,Twyla Tharp,2
"If you want to live a happy life, tie it to a goal, not to people or objects.",Albert Einstein,2
"When life gets harder, challenge yourself to be stronger.",Unknown,2
The happiness of your life depends on the quality of your thoughts.,Marcus Aurelius,2
Life is much better when you are living in the present moment.,Unknown,2
You are the artist of your own life. Don't hand the paintbrush to anyone else.,Unknown,2
Love is a great beautifier.,Louisa May Alcott,2
Where there is love there is life.,Mahatma Gandhi,2
High achievement always takes place in the framework of high expectation.,Unknown,2
